1317040011	中山醫學大學附設醫院
1339060017	中國醫藥大學北港附設醫院
200000000AUB00000	總統府參事室
200000000AU300000	總統府第二局
200000000AU200000	總統府第一局
200000000AU400000	總統府第三局
200000000AUA00000	總統府政風處
200000000AU600000	總統府侍衛室
200000000A	總統府
200000000AU700000	總統府公共事務室
200000000AU900000	總統府主計處
200000000AU800000	總統府人事處
200000000AU100000	總統府秘書長
200000000AU500000	總統府機要室
200000000AUL00000	總統府法規委員會
200000000AUC00000	總統府資訊安全推動委員會
201000000A	中央研究院
201000000AU160000	中央研究院人事室
201000000AU170000	中央研究院政風室
201000000AU150000	中央研究院主計室
202000000AU300000	國史館政風室
202000000A	國史館
202000000AU100000	國史館人事室
202000000AU200000	國史館主計室
202010000AU000002	國史館臺灣文獻館主計室
202010000AU000001	國史館臺灣文獻館人事室
202010000A	國史館臺灣文獻館
301210000TU300000	中央警察大學警政管理學院
301210000TU320000	中央警察大學防災研究所
301210000TU280000	中央警察大學通識教育中心
301210000TU080000	中央警察大學主計室
301210000TU230000	中央警察大學國境警察學系
301210000TU050000	中央警察大學學生總隊
301210000TU020000	中央警察大學教務處
301210000TU260000	中央警察大學鑑識科學學系
301210000TU180000	中央警察大學外事警察學系
301210000TU010000	中央警察大學秘書室
301210000TU060000	中央警察大學人事室
301210000TU200000	中央警察大學消防學系
301210000TU100000	中央警察大學鑑識科學研究委員會
301210000TU040000	中央警察大學總務處
301210000TU120000	中央警察大學圖書館
301210000TU170000	中央警察大學犯罪防治學系
301210000TU160000	中央警察大學行政管理學系
301210000TU210000	中央警察大學水上警察學系
301210000TU290000	中央警察大學恐怖主義研究中心
301210000TU030000	中央警察大學學生事務處
301210000TU130000	中央警察大學推廣教育訓練中心
301210000TU250000	中央警察大學交通學系
301210000TU220000	中央警察大學刑事警察學系
301210000TU270000	中央警察大學公共安全學系
301210000TU150000	中央警察大學行政警察學系
301210000TU240000	中央警察大學法律學系
301210000TU310000	中央警察大學警察科技學院
301210000TU070000	中央警察大學公共關係室
301210000TU140000	中央警察大學電子計算機中心
301210000TU190000	中央警察大學資訊管理學系
301210000TU110000	中央警察大學醫務室
301210000TU090000	中央警察大學科學實驗室
301210000T	中央警察大學
307230000NUXZ0000	合作金庫商業銀行衛道分行
307230000NUXY0000	合作金庫商業銀行中港分行
307230000NUWS0000	合作金庫商業銀行板新分行
307230000NUW30000	合作金庫商業銀行岡山分行
307230000NUW20000	合作金庫商業銀行永康分行
307230000NUV60000	合作金庫商業銀行前金分行
307230000NUV10000	合作金庫商業銀行南高雄分行
307230000NUV00000	合作金庫商業銀行三民分行
307230000NUU20000	合作金庫商業銀行林內分行
307230000NUO10000	合作金庫商業銀行新北市區區域中心
307230000NUT50000	合作金庫商業銀行東臺南分行
307230000NUT40000	合作金庫商業銀行北臺南分行
307230000NUM80000	合作金庫商業銀行南屯分行
307230000NUP10000	合作金庫商業銀行后里分行
307230000NUN40000	合作金庫商業銀行大園分行
307230000NUM20000	合作金庫商業銀行朴子分行
307230000NUP80000	合作金庫商業銀行松竹分行
307230000NUT90000	合作金庫商業銀行苓雅分行
307230000NUL80000	合作金庫商業銀行斗六分行
307230000NUG70000	合作金庫商業銀行長春分行
307230000NUG10000	合作金庫商業銀行花蓮分行
307230000NUF00000	合作金庫商業銀行龜山分行
307230000NUE60000	合作金庫商業銀行羅東分行
307230000NUD40000	合作金庫商業銀行海山分行
307230000NUD30000	合作金庫商業銀行林口文化分行
307230000NUB60000	合作金庫商業銀行三興分行
307230000NUB50000	合作金庫商業銀行民權分行
307230000NUB40000	合作金庫商業銀行大安分行
307230000NUB30000	合作金庫商業銀行五洲分行
307230000NUA80000	合作金庫商業銀行士林分行
